顾客编号,销售月份,销售金额,销售日期
0,201501,23.04988,1
0,201504,13.595400000000001,1
1,201501,12.29728,1
1,201502,36.3356,1
2,201501,53.80072,2
2,201502,38.78324,1
3,201501,60.970240000000004,3
3,201502,381.18931999999995,4
3,201503,77.12781999999999,7
3,201504,51.41672,4
4,201501,27.90264,1
4,201504,155.9276,2
5,201501,61.1996,2
5,201503,33.5,1
5,201504,48.34,2
6,201501,21.317,1
6,201502,65.6712,1
6,201503,20.0,1
6,201504,84.24716000000001,3
7,201501,149.8672,2
7,201503,67.38048,1
7,201504,52.06912,2
8,201501,216.55104000000003,4
8,201503,122.7854,4
8,201504,83.42720000000001,1
9,201501,80.4,2
10,201501,226.70832000000001,2
10,201503,117.51012,2
11,201501,50.29574000000001,1
12,201501,718.6796599999999,17
12,201502,538.31306,4
12,201503,389.77795999999995,16
12,201504,246.93367999999995,8
13,201501,165.45460000000003,4
13,201502,9.7,1
13,201503,160.71168000000003,5
13,201504,321.53396,8
14,201501,335.05656000000005,6
15,201501,318.68069999999994,3
16,201501,139.98604000000003,4
16,201502,252.50000000000003,1
17,201501,274.8223000000001,7
17,201502,318.47576000000004,4
17,201503,57.754760000000005,2
17,201504,73.2728,2
18,201501,40.06984,1
19,201501,260.10375999999997,3
19,201504,45.8392,1
20,201501,125.46272000000002,4
20,201502,138.74352,4
20,201503,24.20872,2
20,201504,141.41340000000002,4
21,201501,76.3264,2
21,201502,111.1,1
21,201503,47.75618,1
21,201504,13.877559999999999,1
22,201501,101.8792,1
23,201501,20.0,1
24,201501,181.11463999999992,11
24,201502,153.94196000000002,7
24,201503,364.8322199999999,13
24,201504,178.87904000000003,6
25,201501,38.50748,1
26,201501,188.82244,3
26,201502,78.4,2
27,201501,81.64472,2
28,201501,13.9,1
29,201501,21.7,1
30,201501,64.51584,1
31,201501,183.11992000000004,3
31,201502,64.44816,2
31,201503,208.06728,4
31,201504,202.32168000000001,3
32,201501,485.7646999999999,9
32,201502,464.54911999999996,6
32,201503,183.08400000000003,3
32,201504,216.11100000000002,4
33,201501,219.7,1
34,201501,249.80888000000002,8
34,201502,237.29838,7
34,201503,377.62943999999993,11
34,201504,333.1381600000001,5
35,201501,80.92415999999999,1
36,201501,43.9572,1
36,201504,159.00480000000002,1
37,201501,116.88956,4
37,201502,285.71084,4
37,201504,29.02,1
38,201501,240.06215999999995,4
38,201502,157.06252,4
38,201504,94.67251999999999,2
39,201501,178.00876000000005,7
39,201502,66.36735999999999,6
39,201503,263.97372000000007,10
39,201504,69.17660000000001,4
40,201501,41.550000000000004,2
40,201502,360.15184,1
41,201501,38.3348,2
41,201502,40.128,1
42,201501,27.643520000000002,1
42,201504,99.12602000000003,1
43,201501,55.8,1
43,201502,53.629799999999996,2
43,201504,118.30000000000001,3
44,201501,113.18160000000003,3
44,201502,59.88164,1
44,201503,30.720560000000003,1
45,201501,12.494800000000001,1
46,201501,96.17674000000001,2
46,201502,12.46424,1
46,201503,64.53528,2
46,201504,96.79632000000001,4
47,201501,576.7052400000001,20
47,201502,40.187279999999994,2
47,201503,479.34433999999976,13
47,201504,334.57399999999996,10
48,201501,4.02536,1
48,201503,17.743199999999998,1
49,201501,266.556,5
49,201503,210.8334,2
49,201504,146.85844,2
50,201501,51.8,1
50,201502,17.5,1
50,201504,24.600579999999997,1
51,201501,580.8694200000002,17
51,201502,132.60000000000002,5
51,201503,73.58784,5
51,201504,199.59564,11
52,201501,348.2202999999999,9
52,201502,2229.936040000003,18
52,201503,425.1227799999998,13
52,201504,1044.20524,11
53,201501,38.436,1
54,201501,66.8548,1
55,201501,105.03207999999998,2
55,201503,32.70696,1
55,201504,157.15879999999999,3
56,201501,108.02584000000003,6
56,201502,18.700000000000003,2
56,201503,216.65988,3
56,201504,28.3736,2
57,201501,67.3,1
57,201502,74.63468,4
57,201503,25.44504,1
57,201504,33.3,1
58,201501,140.76212,3
58,201504,136.96718000000004,3
59,201501,13.836479999999998,2
60,201501,52.331540000000004,2
60,201502,31.6,1
60,201504,145.09664000000004,3
61,201501,88.01224,5
61,201502,237.47932000000003,5
61,201503,67.26035999999999,4
61,201504,348.98679999999996,4
62,201501,305.52292,6
62,201504,112.54296000000002,4
63,201501,35.07858,2
64,201501,233.54968000000005,5
64,201502,72.64828,3
64,201503,128.8124,1
64,201504,46.610119999999995,1
65,201501,25.15072,1
65,201503,34.5,1
66,201501,156.6774,1
67,201501,6.8,1
67,201504,150.85520000000002,2
68,201501,196.58966000000007,2
68,201502,179.20000000000002,1
68,201503,63.62,1
68,201504,218.12260000000003,4
69,201501,88.3,1
70,201501,154.77708,6
70,201502,75.49727999999999,3
70,201503,74.56586000000001,3
70,201504,11.074000000000002,1
71,201501,187.73832000000002,3
71,201502,12.7706,1
72,201501,749.9894799999998,5
72,201502,264.0,1
73,201501,360.18856,6
73,201502,313.12359999999995,3
73,201503,229.61224000000004,3
73,201504,268.63820000000004,5
74,201501,732.3087999999998,8
74,201502,139.70016000000004,2
74,201503,348.3,2
74,201504,545.4507999999998,4
75,201501,207.69320000000002,7
75,201502,19.635440000000003,1
75,201503,216.66583999999997,5
75,201504,219.02112000000002,5
76,201501,249.2956,7
76,201502,32.8,1
76,201504,76.84119999999999,2
77,201501,100.9,1
77,201503,15.6,1
78,201501,341.72564,5
78,201502,540.6243400000001,6
78,201503,63.467679999999994,2
78,201504,21.187559999999998,1
79,201501,33.58928,3
80,201501,202.8,1
81,201501,251.51248,13
81,201502,259.78288000000003,13
81,201503,309.554,11
81,201504,231.38856,10
82,201501,35.63312,1
82,201504,75.91688,1
83,201501,91.452,2
84,201501,462.7027999999999,6
84,201502,499.30579999999986,2
84,201503,269.8,3
84,201504,441.46881999999977,6
85,201501,26.1768,1
85,201503,99.11244,2
86,201501,219.29600000000002,3
86,201504,77.5628,1
87,201501,394.99159999999995,8
87,201502,123.47883999999999,2
87,201503,257.80799999999994,3
87,201504,173.69972000000007,6
88,201501,109.57844000000001,3
88,201502,197.51472,3
88,201503,75.63435999999999,1
89,201501,26.5,1
90,201501,202.33480000000006,2
90,201502,291.58747999999997,3
90,201504,47.099999999999994,1
91,201501,380.3099600000001,8
91,201502,97.90520000000001,1
91,201503,107.7436,3
91,201504,611.8219999999995,6
92,201501,1053.9151999999997,20
92,201502,222.66420000000002,7
92,201504,111.26751999999999,5
93,201501,271.40504,9
93,201502,114.2124,4
93,201503,229.35976,6
93,201504,277.30438,9
94,201501,362.49999999999994,4
94,201503,33.2,1
95,201501,36.8316,4
95,201502,69.86036,4
95,201503,70.75364000000002,4
95,201504,58.335460000000005,4
96,201501,73.82000000000001,4
97,201501,7.1084000000000005,1
98,201501,22.700000000000003,1
99,201501,218.69952,2
99,201504,90.70000000000002,2
100,201501,44.7224,1
101,201501,28.0764,1
102,201501,91.48075999999999,8
102,201502,170.48999999999998,7
102,201503,174.05620000000002,4
102,201504,182.50000000000003,2
103,201501,145.0334,2
103,201503,33.72896,2
104,201501,97.3832,3
104,201503,146.62316,3
105,201501,353.63502000000005,11
105,201502,121.87187999999999,5
105,201503,79.76448,2
105,201504,149.58426,4
106,201501,190.7,2
106,201502,73.01832,5
106,201503,32.55912,1
106,201504,121.57912,4
107,201501,233.95779999999996,3
107,201502,470.0,2
107,201503,61.737680000000005,1
107,201504,55.14936,1
108,201501,705.6303800000002,11
108,201502,690.4389600000001,3
108,201503,526.4799,6
108,201504,487.57432,6
109,201501,26.70648,1
109,201502,82.19999999999999,1
110,201501,109.33528,3
111,201501,17.852320000000002,1
111,201504,162.43368,1
112,201501,44.39077999999999,1
113,201501,147.24916,4
113,201502,149.30560000000003,5
113,201503,37.598,3
113,201504,412.5912599999999,11
114,201501,229.67560000000006,2
115,201501,116.45512,4
115,201504,23.4228,1
116,201501,129.6,1
117,201501,264.5204,4
117,201503,34.79436,1
117,201504,19.4666,1
118,201501,89.25088,3
118,201502,61.27816,2
118,201503,221.90292000000002,5
119,201501,148.51252,2
119,201502,245.04340000000005,2
119,201503,252.46368,4
119,201504,128.00343999999998,1
120,201501,75.36708,1
121,201501,205.56340000000003,9
121,201502,20.8,2
121,201503,100.1006,7
121,201504,165.01864,8
122,201501,75.18152,2
122,201502,39.27452,2
122,201503,36.11642,2
123,201501,51.2732,1
124,201501,23.95816,2
125,201501,12.9,1
126,201501,145.9272,4
126,201502,262.07956,2
126,201503,184.26396,5
127,201501,476.05114000000003,12
127,201502,70.97984000000001,1
127,201503,239.20112000000006,3
127,201504,194.01363999999998,5
128,201501,94.20645999999999,2
129,201501,180.51402000000002,3
130,201501,103.68803999999999,3
130,201502,43.127120000000005,5
130,201504,117.08048000000001,3
131,201501,158.9,1
132,201501,64.8,1
132,201502,152.2,2
133,201501,118.65356000000003,5
133,201504,396.51507999999995,7
134,201501,176.02,2
134,201502,59.2,2
134,201503,137.56,2
134,201504,134.84160000000003,3
135,201501,57.710280000000004,2
136,201501,45.26656,2
137,201501,57.65832,1
138,201501,31.77636,1
139,201501,149.08592,4
139,201502,471.5516799999999,5
139,201503,280.05116000000004,10
139,201504,69.21052,2
140,201501,172.71616,4
141,201501,35.721199999999996,1
142,201501,357.63557999999995,12
142,201502,329.59507999999994,7
142,201503,252.73348000000007,5
142,201504,275.85476,7
143,201501,98.6132,3
143,201502,170.39999999999998,1
143,201504,117.6668,2
144,201501,277.4792,6
144,201502,476.91092,6
144,201503,150.33492,4
144,201504,228.52756000000002,2
145,201501,204.44436000000002,5
145,201502,207.03088,4
145,201503,429.4187999999999,8
145,201504,243.14640000000003,5
146,201501,236.00180000000003,6
146,201502,186.404,4
146,201503,30.94632,2
146,201504,79.42063999999999,4
147,201501,59.699999999999996,1
147,201502,36.858720000000005,1
148,201501,39.4,1
149,201501,103.90052,2
150,201501,3.0330399999999997,1
150,201504,120.18520000000001,5
151,201501,415.5026799999998,9
151,201502,104.50192,2
151,201504,177.37464,7
152,201501,61.13152,4
152,201502,29.390079999999998,2
152,201503,27.648999999999997,1
152,201504,12.259720000000002,1
153,201501,260.29188,3
153,201503,99.25679999999998,1
154,201501,53.81868000000001,1
155,201501,103.70000000000002,3
156,201501,154.12704000000005,5
156,201502,18.9944,1
156,201503,51.31736,2
156,201504,116.09072000000002,4
157,201501,12.436000000000002,1
157,201503,25.799999999999997,2
158,201501,22.1,1
159,201501,59.74,3
159,201502,484.90000000000003,1
160,201501,67.1304,1
160,201502,69.0712,1
161,201501,27.277359999999998,1
162,201501,110.72287999999999,3
162,201503,149.01568,2
163,201501,172.62175999999997,4
163,201502,109.16720000000001,2
163,201504,47.4,2
164,201501,198.59680000000006,5
164,201503,114.24896000000003,4
164,201504,274.76344,5
165,201501,40.94468,1
166,201501,40.4756,2
166,201503,25.538,2
166,201504,3.5,1
167,201501,139.69872,3
167,201503,73.67112,4
167,201504,87.56536,3
168,201501,67.70068,3
168,201502,80.3088,1
168,201503,77.43091999999999,3
168,201504,44.343360000000004,2
169,201501,43.817040000000006,1
169,201503,91.2504,1
170,201501,7.3,1
171,201501,47.342800000000004,2
171,201502,49.568,1
172,201501,221.69948,5
172,201502,384.49999999999994,2
172,201503,50.426,2
172,201504,34.92464,2
173,201501,73.3,1
173,201502,55.7,1
174,201501,407.04304,8
174,201502,64.51456,1
174,201503,524.0740000000001,6
174,201504,249.35428000000002,6
175,201501,106.60000000000002,2
176,201501,65.32000000000001,2
176,201502,32.461040000000004,2
176,201504,45.0144,1
177,201501,247.51058,6
177,201502,131.97308,2
177,201503,106.90299999999999,2
178,201501,22.200000000000003,1
179,201501,154.82559999999998,3
179,201503,135.90326,3
179,201504,128.7912,2
180,201501,48.81724,2
180,201502,2.7,1
180,201504,22.994740000000004,1
181,201501,402.1029799999999,7
181,201502,138.75900000000001,5
181,201504,144.2528,2
182,201501,44.9,1
182,201502,94.77047999999999,3
183,201501,127.4666,4
183,201502,327.1364,5
183,201503,50.0696,1
183,201504,84.48156,2
184,201501,65.68648,2
185,201501,22.368660000000002,1
185,201503,17.1618,1
186,201501,35.2072,1
187,201501,150.99268,4
187,201503,31.6608,1
188,201501,179.39480000000006,2
189,201501,81.41812,3
189,201502,105.3356,2
189,201503,15.9,1
189,201504,157.02792,2
190,201501,301.23487999999986,6
190,201502,41.132799999999996,2
190,201503,175.2372,5
190,201504,263.395,5
191,201501,54.599999999999994,1
191,201502,28.0,1
191,201503,89.6,1
192,201501,19.49882,1
193,201501,30.325839999999996,3
194,201501,46.44204,1
195,201501,22.72744,1
196,201501,245.14559999999994,6
196,201503,87.99128,2
197,201501,330.57662,2
198,201501,105.61936,2
198,201504,115.56952,1
199,201501,54.30906000000001,2
199,201502,155.48714,2
199,201503,18.1752,1
199,201504,87.83292,2
200,201501,18.21576,1
200,201504,26.852800000000002,1
201,201501,63.501799999999996,2
201,201502,155.26656,3
201,201503,60.924400000000006,2
201,201504,24.1,1
202,201501,34.9284,1
203,201501,431.47756000000004,10
203,201502,6.5,1
203,201503,96.60000000000001,3
204,201501,175.00951999999995,6
204,201502,50.38128,1
204,201503,154.38226000000003,4
204,201504,94.79216,4
205,201501,381.37131999999997,13
205,201502,152.75952,3
205,201503,204.51412000000002,5
205,201504,180.41512000000003,6
206,201501,38.099999999999994,1
207,201501,75.2794,1
207,201503,89.27996,2
207,201504,10.43376,1
208,201501,56.699999999999996,2
209,201501,52.35852,3
209,201503,26.82842,1
209,201504,37.39122,2
210,201501,344.90031999999985,11
210,201502,643.2591999999999,10
210,201503,675.5259800000001,18
210,201504,398.56248,13
211,201501,92.6116,2
212,201501,411.39977999999996,12
212,201502,283.2418,6
212,201503,195.16748,7
212,201504,281.72016,4
213,201501,42.199999999999996,1
214,201501,141.204,1
215,201501,155.98452000000003,4
215,201502,155.87372,4
215,201503,273.20527999999996,7
215,201504,301.19048,6
216,201501,93.7,3
217,201501,77.24816000000001,3
218,201501,123.26588000000001,2
219,201501,18.4,1
219,201504,7.6,1
220,201501,187.12800000000001,4
220,201502,34.70564,1
220,201503,145.3,2
220,201504,152.5632,3
221,201501,78.73392,2
221,201502,500.07919999999996,4
221,201503,79.3,1
221,201504,84.4368,1
222,201501,14.921040000000001,1
223,201501,357.95133999999996,6
223,201502,21.0108,1
223,201503,257.11663999999996,6
223,201504,123.58072000000001,3
224,201501,70.5,2
225,201501,32.03736,1
226,201501,117.69663999999997,5
226,201502,120.2,2
226,201503,351.2758,6
226,201504,86.12376,1
227,201501,85.51570000000001,3
227,201502,39.39095999999999,1
227,201503,69.19692,4
227,201504,185.99304000000006,4
228,201501,154.61136,4
228,201502,30.70956,2
228,201503,22.1516,1
229,201501,64.34564,3
229,201504,24.7252,1
230,201501,154.3,1
231,201501,352.6163999999999,7
231,201502,339.0274,4
231,201503,623.32636,8
231,201504,245.5781,3
232,201501,11.5,1
232,201504,22.8,1
233,201501,27.9,1
233,201502,82.5,1
234,201501,16.5,1
235,201501,153.1,5
235,201502,217.85479999999998,5
235,201503,209.41122000000001,5
235,201504,177.4616,3
236,201501,30.806800000000003,3
236,201502,183.89363999999998,2
236,201503,140.0959,5
236,201504,415.56371999999993,6
237,201501,81.17676,4
237,201502,22.413599999999995,2
238,201501,108.78212,7
238,201502,97.49144,6
238,201503,69.86980000000001,7
238,201504,176.91484,5
239,201501,18.582800000000002,1
240,201501,121.77571999999999,1
241,201501,47.50000000000001,2
241,201502,115.03627999999999,4
241,201503,70.4368,2
241,201504,67.1,2
242,201501,263.66515999999996,5
242,201502,48.7364,2
242,201503,87.73032,2
242,201504,114.6413,2
243,201501,43.7,1
243,201504,16.9,1
244,201501,73.65487999999999,1
244,201503,14.339999999999998,1
244,201504,80.6028,2
245,201501,21.53,1
246,201501,148.03512,3
247,201501,193.85402000000002,3
248,201501,171.59468,1
249,201501,613.0248599999999,5
249,201502,365.72456,3
250,201501,205.42488,5
250,201503,318.55996000000005,7
250,201504,642.1633200000001,12
251,201501,30.3,1
251,201504,27.57848,1
252,201501,76.9,1
253,201501,13.9,1
253,201502,18.143839999999997,1
253,201504,118.68432,1
254,201501,25.599999999999998,1
255,201501,187.41971999999998,3
255,201502,89.2952,2
