大类名称,销售月份,销售数量
日配,201504,3737.191999999998
日配,201501,3639.215000000003
日配,201502,3381.434999999999
蔬果,201501,3321.166000000004
日配,201503,3009.032
蔬果,201504,2501.9240000000013
蔬果,201503,2472.2319999999977
粮油,201501,2420.7029999999995
休闲,201502,2109.2999999999997
休闲,201501,2085.6119999999996
蔬果,201502,2060.7319999999986
粮油,201502,1986.515
休闲,201504,1956.047999999999
粮油,201504,1844.5460000000003
粮油,201503,1616.7740000000001
休闲,201503,1589.1560000000002
酒饮,201502,1489.001
酒饮,201504,1156.0
洗化,201501,1003.0
酒饮,201503,992.0
洗化,201504,891.0
洗化,201503,800.0
酒饮,201501,771.0
洗化,201502,718.0
肉禽,201501,293.973
熟食,201501,278.19800000000004
熟食,201503,277.91400000000016
熟食,201504,223.3190000000001
冲调,201502,211.0
肉禽,201504,196.44800000000004
冲调,201501,175.0
肉禽,201503,173.46400000000006
家居,201502,172.0
针织,201501,172.0
肉禽,201502,171.15300000000008
家居,201503,159.0
家居,201501,158.0
熟食,201502,135.85600000000008
家居,201504,117.0
文体,201502,116.0
冲调,201503,110.0
冲调,201504,107.0
文体,201501,99.0
针织,201504,84.0
针织,201502,77.0
文体,201503,70.0
针织,201503,66.0
水产,201504,61.755999999999986
文体,201504,48.0
水产,201503,30.433000000000003
水产,201502,29.260000000000005
家电,201501,27.0
家电,201503,17.0
水产,201501,13.931
家电,201502,10.0
家电,201504,7.0
烘焙,201501,3.7179999999999995
烘焙,201502,3.176
烘焙,201503,0.602
